edrpou,official_address,mail_address,email,fax
21047566,39441 Полтавська Машівський Абрамівка Нова буд. 2,39441 Полтавська Машівський Абрамівка Нова буд. 2,olya.bridnya@yandex.ru,
03303072,97342 Автономна Республіка Крим Кіровський Абрикосівка Леніна буд. 3,97342 Автономна Республіка Крим Кіровський Абрикосівка Леніна буд. 10,abrikosovskiyss@rambler.ru,0655553567
04377664,67632 Одеська Біляївський Августівка Кооперативна буд. 21,67632 Одеська Біляївський Августівка Кооперативна буд. 21,ass_gov@rambler.ru,380485239242
04053329,86060 Донецька Авдіївка Авдіївка Молодіжна буд. 5 кiмната кабінет № 3,86060 Донецька Авдіївка Авдіївка Молодіжна буд. 5 кiмната кабінет № 3,isp@avdeevka.dn.ua,(06236) 3-57-22
04365135,27620 Кіровоградська Кіровоградський Аджамка Леніна буд. 65,27620 Кіровоградська Кіровоградський Аджамка Леніна буд. 65,adzham@ua.fm,(0522)311439
04352374,70330 Запорізька Розівський Азов вул.Центральна буд. 10,70330 Запорізька Розівський Азов вул.Центральна буд. 10,Відсутня,(06162)99242
34496494,98516 Республіка Крим Алушта Алушта пл. Радянська буд. 1,98516 Республіка Крим Алушта Алушта пл. Радянська буд. 1,alushta_rada@alushta.sf.ukrtel.net,(06560) 253-86
04053080,87302 Донецька Амвросіївський Амвросіївка Леніна буд. 24,87302 Донецька Амвросіївський Амвросіївка Леніна буд. 24,amvr2250gorsovet2009@yandex.ru,0 6259 2 22 50
24653014,87302 Донецька Амвросіївський м.Амвросіївка Леніна буд. 24 кiмната 305,87302 Донецька Амвросіївський м.Амвросіївка Леніна буд. 24 кiмната 305,sovet@amvr.dc.ukrtel.net,(06259)22432
34734570,49023 Дніпропетровська  Дніпропетровськ проспект Воронцова буд. 31,49023 Дніпропетровська  Дніпропетровськ проспект Воронцова буд. 31,andrada@ukr.net,(0562)230474
04397098,64220 Харківська Балаклійський Андріївка площа 30 років ВЛКСМ буд. 6,64220 Харківська Балаклійський Андріївка площа 30 років ВЛКСМ буд. 6,andrsovet@mail.ru,0574941193
25483005,71140 Запорізька Бердянський Андріївка Леніна буд. 31,71140 Запорізька Бердянський Андріївка Леніна буд. 31,сайт: andrsr.at.ua; andreevka77@rambler.ru або Andreevkasr.gov@meta.ua,0615391131
04342370,85540 Донецька Великоновосілківський Андріївка Матросова буд. 8,85540 Донецька Великоновосілківський Андріївка Матросова буд. 8,andriivka@bk.ru,
21047626,39442 Полтавська Машівський Андріївка Космонавтів буд. 17,39442 Полтавська Машівський Андріївка Космонавтів буд. 17,Відсутня,(05364)9-36-24
04341005,85711 Донецька Волноваський Андріївка Леніна буд. 25,85711 Донецька Волноваський Андріївка Леніна буд. 25,andreevka_sovet@mail.ru,0624452222
04342045,84192 Донецька Слов'янський Андріївка село Миру буд. 7Б,84192 Донецька Слов'янський Андріївка село Миру буд. 7Б,andreevskarada@ukr.net,0626638649
04338204,53760 Дніпропетровська Широківський село Андріївка Жовтнева буд. 22,53760 Дніпропетровська Широківський село Андріївка Жовтнева буд. 22 кiмната -,shirandriivsil@mail.dp.gov.ua,0 (05657) 2-75-72
04376831,54105 Миколаївська Новоодеський Антонівка Центральна буд. 16,54105 Миколаївська Новоодеський Антонівка Центральна буд. 16,antonovka220@meta.ua,0516724321
04388136,34380 Рівненська Володимирецький село Антонівка Б.Хмельницького буд. 14,34380 Рівненська Володимирецький село Антонівка Б.Хмельницького буд. 14,antonivka@silrada.rv.ua,(03634) 6-12-68
04359011,09052 Київська Сквирський Антонів Ювілейна буд. 1,09052 Київська Сквирський Антонів Ювілейна буд. 1,Відсутня,04568-27-6-45
04407342,31022 Хмельницька Красилівський Антоніни пл. Леніна  буд. 6,31022 Хмельницька Красилівський Антоніни пл. Леніна  буд. 6,antonrada@krasylivrada.km.ua,03855 51267
26100822,9 4613 Луганська  Антрацит Леніна буд. 1,9 4613 Луганська  Антрацит Леніна буд. 1,gorsovet@an.lg.ua,0643132171
21755961,94613 Луганська Антрацитівський Антрацит Леніна буд. 44,94613 Луганська Антрацитівський Антрацит Леніна буд. 44,antr.rayrada@yandex.ru,0(6431)3-12-06
25018299,53802 Дніпропетровська Апостолівський Апостолове Набережна буд. 18,53802 Дніпропетровська Апостолівський Апостолове Набережна буд. 18,aprrada@dp.gov.ua,(05656) 9-11-34
04369110,98210 Автономна Республіка Крим Ленінський р-н с.Мисове Анджиєвського буд. 37,98210 Автономна Республіка Крим Ленінський р-н с.Мисове Анджиєвського буд. 37,selskiysovet.mysovoe@mail.ru,(06557) 58-8-85
20881847,55300 Миколаївська  Арбузинський  смт. Арбузинка пл. Центральна буд. 18,55300 Миколаївська  Арбузинський  смт. Арбузинка пл. Центральна буд. 18,arb.rayrada@yandex.ua,(05132) 3-10-22; 3-11-93
04376653,55300 Миколаївська Арбузинський Арбузинка Каштановий буд. 18,55300 Миколаївська Арбузинський Арбузинка Каштановий буд. 18,selsovetarb@ukr.net,0513230825
04350257,90120 Закарпатська Іршавський Арданово без вулиці буд. 410а,90120 Закарпатська Іршавський Арданово без вулиці буд. 410а,ardanovorada@ukr.net,(03144) 48223
04367720,97635 Республіка Крим Білогірський Ароматне Ювілейна буд. 1,97635 Республіка Крим Білогірський Ароматне Ювілейна буд. 1,ms.aromatnoe@mail.ru,0655997742
04051773,94313 Луганська Перевальський Артемівськ Серго буд. 3 кiмната -,94313 Луганська Перевальський Артемівськ Серго  буд. 3 кiмната -,artemgorsovet@mail.ru,3-37-93
04052732,84500 Донецька  Артемівськ Артема буд. 44,84500 Донецька  Артемівськ Артема буд. 44,kantz@artemrada.gov.ua,0627-44-03-63
04341146,87340 Донецька Амвросіївський Артемівка Шевченка буд. 60а,87340 Донецька Амвросіївський Артемівка Шевченка буд. 60а,sovet@amvr.dc.ukrtel.net,
00432159,72552 Запорізька Якимівський Атманай Матросова буд. 5 А,72552 Запорізька Якимівський Атманай Матросова буд. 5 А,atmansilrada@mail.ru,(06131)-6-10-00
04418662,60115 Чернівецька Кельменецький Бабин Шевченка буд. 15,60115 Чернівецька Кельменецький Бабин Шевченка буд. 15,selobabun@meta.ua,(03732)-3-56-36
34059261,49069 Дніпропетровська  м.Дніпропетровськ К.Лібкнехта буд. 70,49069 Дніпропетровська  м.Дніпропетровськ К.Лібкнехта буд. 70,bbrada@ukr.net,(056) 749-65-46
04342387,85530 Донецька Великоновосілківський Богатир Миру буд. 23,85530 Донецька Великоновосілківський Богатир Миру буд. 23,bagatirska.sr@gmail.com,
04399476,64560 Харківська Сахновщинський Багата Чернещина вул.Центральна буд. 1,64560 Харківська Сахновщинський Багата Чернещина вул.Центральна буд. 1,sahnov-rada@mail.ru,05762-2-36-41
04337618,92112 Луганська Троїцький Багачка Шкільна буд. 37,92112 Луганська Троїцький Багачка Шкільна буд. 37,bagachka.sovet@mail.ua,0645694424
04327117,22814 Вінницька Немирівський Байраківка Шкільна буд. 5а,22814 Вінницька Немирівський Байраківка Шкільна буд. 5а,bairakovka.sil.rada@gmail.com,0433134442
04526271,45665 Волинська Луцький Баківці Червоного Хреста буд. 12А,45665 Волинська Луцький Баківці Червоного Хреста буд. 12А,bakivci_volyn@ukr.net,0332795232
23881173,70435 Запорізька Запорізький Балабине Урицького буд. 2,70435 Запорізька Запорізький Балабине Урицького буд. 2,balpost@meta.ua,061 223-32-38
